roman,burmese,rank,source
ddi,တီ,70,forward
ddy,တီ,70,forward
de,တီ,70,forward
deight,တိုက်,70,forward
deik,ဒိတ်,70,forward
dein,ဒိန်း,70,forward
deint,ဒိမ့်,70,forward
del,ဒယ်လ်,70,forward
di,တီ,70,forward
din,ဒင်,70,forward
dine,ဒိုင်,70,forward
dint,ဒင့်,70,forward
dit,ဒစ်,70,forward
do,ဒို,70,forward
doe,တိုး,70,forward
dol,ဒေါ်,70,forward
don,ဒုံ,70,forward
doon,ဒွန်း,70,forward
douk,တောက်,70,forward
dove,ဒို့ဗ်,70,forward
dra,ဒြာ,70,forward
du,ဒူ,70,forward
due,ဒူး,70,forward
dunn,ဒွန်း,70,forward
duu,ဒူး,70,forward
dwant,ဒွန့်,70,forward
dwap,ဒွပ်,70,forward
dwat,ဒွတ်,70,forward
dway,ဒွေး,70,forward
dwe,ဒွေး,70,forward
dy,တီ,70,forward
e,အယ်,70,forward
eain,အိမ်,70,forward
eainda,အိန္ထ,70,forward
eaindar,အိန္တာ,70,forward
eaindra,အိန္ဒြာ,70,forward
eaindray,အိန္ဒြေ,70,forward
eaindu,အိန္ဓု,70,forward
eaindya,အိန္ဒြ,70,forward
eainkha,အိင်္ခ,70,forward
eainmar,အိန္မာ,70,forward
eainn,အိဏ်း,70,forward
eainni,အိန္နီ,70,forward
eaint,အိမ့်,70,forward
eainvar,အိမ္ဗာ,70,forward
ei,အိ,70,forward
eie,အီ,70,forward
eike,အိုက်,70,forward
eine,အိုင်း,70,forward
eit,အစ်,70,forward
eizzar,အိဇ္ဇာ,70,forward
el,ရယ်လ်,70,forward
ent,ယန့်,70,forward
eu,အူရ်,70,forward
eular,အူလ္လာ,70,forward
ew,ယူး,70,forward
f,ဖ,70,forward
fa,ဖ,70,forward
far,ဖယ်,70,forward
g,ဂျီ,70,forward
ga,ဂ,70,forward
gae,ဂဲလ်,70,forward
gag,ဂဂ်,70,forward
gagar,ဂဂ္ဂါ,70,forward
gagarr,ဂဂ္ဂါး,70,forward
gaine,ဂိမ်း,70,forward
gam,ဂမ်,70,forward
game,ဂိမ်း,70,forward
gan,ဂန်,70,forward
ganda,ဂန္တ,70,forward
gant,ကံ့,70,forward
gar,ဃာ,70,forward
garr,ဂါး,70,forward
gat,ဂတ်,70,forward
gate,ဂိတ်,70,forward
gaung,ဂေါင်,70,forward
gaw,ကော်,70,forward
gay,ဂေ,70,forward
gel,ဂျယ်,70,forward
gi,ဂီ,70,forward
gint,ဂင့်,70,forward
go,ဂို,70,forward
gold,ဂိုးလ်,70,forward
gon,ဂုန်,70,forward
gu,ဂူ,70,forward
gue,ဂူး,70,forward
guu,ဂူး,70,forward
gwan,ဂွမ်,70,forward
gwi,ဂွိ,70,forward
gy,ဂီ,70,forward
gyan,ဂျမ်း,70,forward
gyee,ဂျီး,70,forward
gyi,ကြီး,70,forward
gyin,ကြင်း,70,forward
gyoke,ချုပ်,70,forward
ha,ဟ,70,forward
hae,ဟဲ,70,forward
hain,ဟိန်း,70,forward
haine,ဟိန်း,70,forward
hak,ဟက်ခ်,70,forward
ham,ဟမ်,70,forward
han,ဟန်,70,forward
hann,ဟမ်း,70,forward
har,ဟာ,70,forward
hark,ဟက်ခ်,70,forward
hat,ဟတ်,70,forward
hatt,ဟတ်,70,forward
hauk,ဟောက်,70,forward
haut,ဟောက်,70,forward
haw,ဟော,70,forward
haway,ဟွေ,70,forward
hawe,ဟွေ,70,forward
hawm,ဟောမ်း,70,forward
hay,ဟေ,70,forward
haye,ဟေး,70,forward
he,ဟဲ,70,forward
heart,ဟတ်ဒ်,70,forward
hee,ဟီး,70,forward
hei,ဟိုင်,70,forward
hein,ဟိန်း,70,forward
her,ဟယ်,70,forward
hin,ဟင်း,70,forward
hla,လှ,70,forward
hlae,လှဲ,70,forward
hlaine,လှိုင်,70,forward
hlaing,လှိုင်,70,forward
hlan,လှဲန်,70,forward
hlaung,လှောင်,70,forward
hlawn,လှောန်,70,forward
hlay,လှေ,70,forward
hlayan,လျှမ်း,70,forward
hlayap,လျှပ်,70,forward
hlayat,လျှပ်,70,forward
hlaye,လှေး,70,forward
hlee,လှီး,70,forward
hlian,လျှံ,70,forward
